SEGMENTID,PROJID,SSSTAT,SSTYPE,Location
2559248,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.089049265896 29.92350552236875)
2559249,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.08919403649821 29.92345051942134)
2559250,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.08858983339127 29.922555397062684)
2559251,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.08872955499257 29.92250456301691)
2561536,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11511719230369 29.920678593554587)
2561537,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11504585359923 29.920666802352546)
2501487,RR308,Complete,Sewer Line Repair (SSERP),POINT (-90.11997091375258 29.934249987826142)
2562499,RR308,Complete,Sewer Line Repair (SSERP),POINT (-90.11890323961913 29.933819873473347)
2510822,,Complete,Sewer Line Repair (SSERP),POINT (-90.08477684089279 29.981331411215187)
2509747,RR261,Complete,Sewer Line Repair (SSERP),POINT (-90.08679813278667 29.977730947615726)
2526086,,Complete,Sewer Line Repair (SSERP),POINT (-90.08301985524317 29.975938090983043)
2525321,,Complete,Sewer Line Repair (SSERP),POINT (-90.0958958746661 29.939535812200013)
2509853,DPW382,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11049825034235 29.967128190184365)
2560279,DPW382,Complete,"Drainage Line, Sewer Line Repair (SSERP), and Water Line Replacement",POINT (-90.10975479210106 29.967839831363715)
2514351,,Complete,Sewer Line Repair (SSERP),POINT (-90.05571852745778 29.963651257509657)
2513715,RR020,Complete,Sewer Line Repair (SSERP),POINT (-90.05587744464466 29.965622007038462)
2513713,DPW773,Complete,Sewer Line Repair (SSERP),POINT (-90.05595734005988 29.966606841791798)
2513488,DPW067,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.05689170510553 29.978721936230944)
2514005,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03747438961611 29.9837206746963)
2514028,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03671686969463 29.98318384336384)
2513748,SELA20,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.03572210363095 29.982765217051142)
2515050,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.02963638950271 29.98139563227464)
2513851,SELA20,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.04101970556934 29.98452378408224)
2513134,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.04007929499318 29.984309668992715)
2513343,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03955051473172 29.984563570017485)
2513826,SELA20,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.04660381825641 29.98494195884254)
2513848,,Complete,Sewer Line Repair (SSERP),POINT (-90.04044638240987 29.984765894752456)
2513845,,Complete,Sewer Line Repair (SSERP),POINT (-90.04135967363777 29.984974294175835)
2513820,RR180,Complete,Sewer Line Repair (SSERP),POINT (-90.04721431669941 29.985418427568717)
2513833,RR305,Complete,Sewer Line Repair (SSERP),POINT (-90.04516842843951 29.985025168604654)
2514007,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03768238365032 29.983026363519894)
2513746,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03708022932655 29.98196434864494)
2513758,DPW046,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.03633992706393 29.980688551992532)
2514072,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.0346523984157 29.980309147533884)
2514023,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03770597169962 29.979891453250193)
2514078,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.0349616912896 29.97927027153968)
2514772,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03340291153796 29.97891750476181)
2514927,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.0325174773943 29.97871655564413)
2514062,DPW046,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.03696562540459 29.97861209584613)
2515041,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03154056726558 29.978493189057755)
2514025,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03809772015285 29.978592277166758)
2515057,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03057137429253 29.97827670063796)
2514075,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.03527559818275 29.978231625492935)
2514076,,Complete,Sewer Line Repair (SSERP),POINT (-90.03638638701185 29.977374454216495)
2515122,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03402475530237 29.976835905444545)
2514645,DPW046,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.03758456325511 29.976537308813892)
2515130,RR166,Complete,Sewer Line Repair (SSERP),POINT (-90.03247656291511 29.975378484916156)
2525021,RR020,Complete,Sewer Line Replacement (ESSA)/Water Line Replacement (FEMA),POINT (-90.02839468218916 29.975005056982543)
2515147,,Complete,Sewer Line Repair (SSERP),POINT (-90.02995946382663 29.975360943022572)
2515145,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03002365452139 29.976851989804725)
2515058,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03030386283193 29.97765970833282)
2515063,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03059389821362 29.976617154495056)
2515040,RR047,Complete,"Drainage Line, Sewer Line (ESSA), and Water Line Replacement",POINT (-90.03090001058432 29.978903023581072)
2515042,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03121395864906 29.97786774547399)
2515060,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03152366269501 29.976823268541317)
2515128,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.0318392252622 29.97578917283056)
2515044,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03249653023393 29.977043225202685)
2514773,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.0331184161953 29.978299371657577)
2515038,,Complete,Sewer Line Repair (SSERP),POINT (-90.03342730595142 29.977255266761286)
2515123,,Complete,Sewer Line Repair (SSERP),POINT (-90.03373731619557 29.976219058791862)
2514357,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.0339662637379 29.97849070385561)
2514074,RR046,Complete,Sewer Line Repair (SSERP),POINT (-90.03505563149065 29.97762446847608)
2513733,,Complete,Sewer Line Repair (SSERP),POINT (-90.03536661523394 29.976589705621663)
2514077,,Complete,Sewer Line Repair (SSERP),POINT (-90.03614100984198 29.97676473624834)
2514071,,Complete,Sewer Line Repair (SSERP),POINT (-90.03698604155113 29.976957744966267)
2523581,,Complete,Sewer Line Repair (SSERP),POINT (-90.02938728065456 29.97911288229591)
2515117,RR111,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01324067717964 29.97767940638043)
2515119,RR111,Complete,"Drainage Line, Sewer Line (ESSA), and Water Line Replacement",POINT (-90.0125376580464 29.977516936229016)
2515592,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.01163415537616 29.977309959283428)
2500447,SELA24B,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.1206047052064 29.955783417696114)
2500445,SELA24B,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.12038219734012 29.955996051383668)
2503546,SELA23A,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.10193937870675 29.926496615172137)
2503541,SELA23A,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.10218382890667 29.926476935222524)
2501774,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11294248739699 29.928510351938332)
2500120,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11304586489793 29.92855961623729)
2501961,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11390170868233 29.925112439466634)
2504075,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.0948952646169 29.935582206344407)
2504298,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.0914977878241 29.928223202817744)
2504300,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.09135668699446 29.92828001171531)
2515634,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.0095869369846 29.97684659914804)
2515590,RR111,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.01287833429481 29.976475544498868)
2515601,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01197304012979 29.976270529638736)
2520141,RR130,Complete,Sewer Line Repair (SSERP),POINT (-90.05524420315135 30.015928316025366)
2506157,RR035,Complete,Sewer Line Repair (SSERP),POINT (-90.0762432933252 29.925552365438406)
2515599,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01230928635246 29.975240148993034)
2515628,RR108,Complete,Water Line Replacement (FEMA),POINT (-90.01136850255182 29.97502377561083)
2517099,PWF157,Complete,Sewer Line Repair (SSERP),POINT (-90.00828465787515 29.975155790824804)
2515612,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01264610922227 29.974207824887824)
2526078,,Complete,Sewer Line Repair (SSERP),POINT (-90.01159433036052 29.97396363626407)
2515635,RR104,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-90.01059315029501 29.97373903613863)
2515647,RR104,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-90.00977130758291 29.97355379151974)
2517279,PWF157,Complete,Sewer Line Repair (SSERP),POINT (-90.00592403973224 29.973429579660063)
2515613,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01298007565788 29.9731778344773)
2515621,RR108,Complete,Water Line Replacement (FEMA),POINT (-90.01203918832572 29.97295878983896)
2515638,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.01092723068633 29.972709094243)
2515608,PWF080,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.01332118346438 29.97214620741226)
2515617,RR306,Complete,Sewer Line Repair (SSERP),POINT (-90.01237723806572 29.971930242338818)
2516920,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.0042579323684 29.971673047516106)
2517059,,Complete,Sewer Line Repair (SSERP),POINT (-90.00597415021053 29.97114110070471)
2517062,,Complete,Sewer Line Repair (SSERP),POINT (-90.00581963727052 29.97108369769122)
2526088,,Complete,Sewer Line Repair (SSERP),POINT (-90.01260228641571 29.970871832547804)
2517220,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.0014754504739 29.970656708293795)
2517364,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.00473107973093 29.970687518433962)
2515467,,Complete,Sewer Line Repair (SSERP),POINT (-90.01305324168885 29.969862934376785)
2526391,,Complete,Sewer Line Replacement (ESSA),POINT (-90.01294063601532 29.969839988405152)
2516978,RR104,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (SWB)",POINT (-90.0018441028681 29.969884438852826)
2515190,RR103,Complete,Sewer Line Replacement (ESSA),POINT (-90.01193121563394 29.969614843825532)
2517240,RR104,Complete,Water Line Replacement (SWB),POINT (-90.00781038655816 29.969501600890577)
2515660,,Complete,Sewer Line Repair (SSERP),POINT (-90.01338895212913 29.968832203239714)
2516956,RR104,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.00362672894032 29.96840413791397)
2517351,PWF157,Complete,Sewer Line Repair (SSERP),POINT (-90.00615125039941 29.967738438407142)
2516715,RR104,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.00390651195902 29.96782350925976)
2517344,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.00662048861287 29.966755633452703)
2517358,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.00566833637185 29.96641153213148)
2517219,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.00243634716144 29.96978810785845)
2516955,RR104,Complete,Water Line Replacement (FEMA),POINT (-90.00301586945194 29.96854224299381)
2517296,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.003185757979 29.97533636537334)
2516957,PWF157,Complete,Sewer Line Repair (SSERP),POINT (-90.00335187378568 29.967937657153236)
2517365,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.00355766334755 29.969676751249168)
2517368,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.00402917629388 29.968698649865846)
2517229,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.00409516951481 29.97334415823281)
2517333,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.00496695624558 29.969041590874745)
2517058,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.00503952460348 29.971378988287327)
2517350,RR104,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.00591038715848 29.967072755453255)
2517304,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.00598352967006 29.969409214322393)
2517331,RR104,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (SWB)",POINT (-90.00645563300334 29.968428084146687)
2517098,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.0072750110294 29.976825990972078)
2515677,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.00810014364265 29.97018771550572)
2515723,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.00854223430534 29.966878201768818)
2515644,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.00981300110902 29.971904934790786)
2515625,RR104,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.01025257678401 29.97643701920915)
2515626,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.01058728975708 29.97540218217324)
2515642,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.01101937010938 29.971070753001513)
2515470,PWF157,Complete,Sewer Line Repair (ESSA),POINT (-90.01135169662669 29.970036831660067)
2515622,RR103,Complete,Sewer Line Repair (SSERP),POINT (-90.01159746707143 29.972308453868955)
2523675,,Complete,Sewer Line Repair (SSERP),POINT (-90.01183958928227 29.965686611270414)
2515607,DPW130,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.01302348546066 29.971521977728504)
